Employee ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating,Latitude,Longitude
00-94354578,Kristine,Salazar,Female,Texas,Houston,Master,12/01/1995,05/01/2020,22/03/2021,HR,Recruiter,68123.65,Excellent,29.7604,-95.3698
00-38774309,Michael,Phelps,Male,California,San Francisco,Master,10/03/1999,03/08/2017,03/06/2024,Customer Service,Help Desk Technician,48358.26,Excellent,37.7749,-122.4194
00-55175881,Randy,Jones,Male,Texas,Austin,Master,16/12/1971,17/07/2019,02/06/2021,Marketing,Marketing Coordinator,107654.56,Satisfactory,30.2672,-97.7431
00-17785883,Kari,Mclean,Female,North Carolina,Raleigh,High School,31/05/2001,22/10/2018,,Customer Service,Customer Support Specialist,90834.37,Excellent,35.7796,-78.6382
00-97357425,Miguel,Sanchez,Female,California,San Diego,High School,01/06/1982,09/01/2019,,HR,Recruiter,98170.92,Good,32.7157,-117.1611
00-83912249,James,Dean,Male,Texas,Dallas,PhD,26/09/1989,27/10/2024,24/10/2021,HR,HR Specialist,55162.76,Satisfactory,32.7767,-96.797
00-59068486,Hannah,Lee,Male,California,San Francisco,PhD,17/12/1970,23/02/2020,,Operations,Inventory Specialist,66478.16,Excellent,37.7749,-122.4194
00-82538722,Ethan,Munoz,Female,California,San Francisco,PhD,29/03/1992,11/08/2019,12/01/2021,Operations,Operations Analyst,112035.96,Good,37.7749,-122.4194
00-29619063,Carol,Jackson,Female,New York,Buffalo,PhD,10/03/2000,26/09/2023,,IT,System Administrator,93733.63,Satisfactory,42.8864,-78.8784
00-28010326,Julie,Nunez,Male,California,San Francisco,Master,25/10/2001,27/02/2021,31/05/2024,Customer Service,Customer Support Specialist,115951.24,Satisfactory,37.7749,-122.4194
00-65587669,Victoria,Rodriguez,Female,New York,Buffalo,PhD,01/08/1988,11/12/2019,22/09/2024,Finance,Accounts Payable Specialist,79017.48,Good,42.8864,-78.8784
00-48436562,Steven,Williamson,Female,New York,Rochester,Bachelor,23/08/1999,25/05/2018,16/08/2025,Operations,Inventory Specialist,43381.82,Excellent,43.1566,-77.6088
00-98160225,Eugene,Adams,Male,New York,Buffalo,PhD,24/11/2000,16/01/2016,10/09/2020,HR,HR Specialist,53621.07,Good,42.8864,-78.8784
00-26991530,Andre,Lee,Male,Texas,Houston,Master,08/06/1985,23/06/2019,,Customer Service,Help Desk Technician,57704.7,Needs Improvement,29.7604,-95.3698
00-90913724,Dustin,Morales,Male,North Carolina,Raleigh,Master,19/12/1983,30/01/2022,26/10/2020,Customer Service,Help Desk Technician,82228.75,Satisfactory,35.7796,-78.6382
00-28399274,Phillip,Gonzalez,Female,Texas,Austin,High School,05/09/1966,03/12/2020,,IT,System Administrator,68323.8,Needs Improvement,30.2672,-97.7431
00-19719999,Vincent,Love,Male,Texas,Austin,High School,02/04/1984,07/09/2015,16/02/2025,Finance,Accountant,93919.3,Needs Improvement,30.2672,-97.7431
00-76514112,Sally,Dennis,Male,Texas,Dallas,Master,22/05/1968,06/06/2022,,HR,HR Specialist,94072.31,Needs Improvement,32.7767,-96.797
00-38712954,Eric,Berg,Female,North Carolina,Raleigh,Master,09/09/1990,24/12/2020,09/02/2023,Marketing,Marketing Coordinator,56971.13,Good,35.7796,-78.6382
